,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
156,23 days,2,BRPEC,NLVLI,"['12 NOV', ' 01:00', 'UTC-03:00']","['5 DEC', ' 03:23', 'UTC+01:00']",875,"[['PEC', 'PTM', 'RTM', 'LGP', 'HAM', 'BRV', 'ANR'], ['ANR', 'ZEE'], ['ZEE', 'VLI']]","['Hapag-Lloyd, MSC', 'MSC']"
157,24 days,2,BRPEC,NLVLI,"['12 NOV', ' 01:00', 'UTC-03:00']","['5 DEC', ' 23:32', 'UTC+01:00']",920,"[['PEC', 'PTM', 'RTM', 'LGP', 'HAM', 'BRV'], ['BRV', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
158,21 days,2,BRPEC,NLVLI,"['28 OCT', ' 21:17', 'UTC-03:00']","['18 NOV', ' 07:32', 'UTC+01:00']",925,"[['PEC', 'PTM', 'RTM', 'LGP', 'BRV', 'HAM'], ['HAM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
159,22 days,2,BRPEC,NLVLI,"['31 OCT', ' 10:15', 'UTC-03:00']","['21 NOV', ' 20:36', 'UTC+01:00']",965,"[['PEC', 'LPA', 'VLC'], ['VLC', 'ANR'], ['ANR', 'VLI']]","['MSC', 'MSC']"
160,25 days,2,BRPEC,NLVLI,"['7 NOV', ' 10:15', 'UTC-03:00']","['1 DEC', ' 20:11', 'UTC+01:00']",1000,"[['PEC', 'LPA', 'VLC'], ['VLC', 'LGP', 'RTM'], ['RTM', 'VLI']]","['Hapag-Lloyd, MSC', 'MSC, W.E.C. Lines']"
161,26 days,2,BRPEC,NLVLI,"['30 OCT', ' 03:00', 'UTC-03:00']","['25 NOV', ' 02:12', 'UTC+01:00']",1325,"[['PEC', 'SUA', 'SSZ'], ['SSZ', 'PTM', 'TNG', 'LGP', 'RTM'], ['RTM', 'VLI']]","['Maersk, MSC', 'CMA CGM, Hamburg Sud, Maersk']"
162,23 days,3,BRPEC,NLVLI,"['27 OCT', ' 08:30', 'UTC-03:00']","['18 NOV', ' 18:21', 'UTC+01:00']",850,"[['PEC', 'LPA'], ['LPA', 'LEH'], ['LEH', 'ANR'], ['ANR', 'VLI']]","['MSC', 'MSC', 'MSC']"
163,23 days,1,BRPEC,BEZEE,"['12 NOV', ' 01:00', 'UTC-03:00']","['5 DEC', ' 02:00', 'UTC+01:00']",825,"[['PEC', 'PTM', 'RTM', 'LGP', 'HAM', 'BRV', 'ANR'], ['ANR', 'ZEE']]","['Hapag-Lloyd, MSC', 'MSC']"
164,21 days,1,BRPEC,BEZEE,"['12 NOV', ' 01:00', 'UTC-03:00']","['2 DEC', ' 16:42', 'UTC+01:00']",885,"[['PEC', 'PTM', 'RTM', 'LGP', 'HAM', 'BRV', 'ANR'], ['ANR', 'ZEE']]","['Hapag-Lloyd, MSC']"
165,16 days,2,BRPEC,BEZEE,"['28 OCT', ' 21:17', 'UTC-03:00']","['13 NOV', ' 04:42', 'UTC+01:00']",790,"[['PEC', 'PTM', 'RTM'], ['RTM', 'ANR'], ['ANR', 'ZEE']]","['Hapag-Lloyd, MSC', 'MSC']"
166,21 days,2,BRPEC,BEZEE,"['28 OCT', ' 21:17', 'UTC-03:00']","['18 NOV', ' 18:42', 'UTC+01:00']",795,"[['PEC', 'PTM', 'RTM'], ['RTM', 'ANR'], ['ANR', 'ZEE']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
167,22 days,2,BRPEC,BEZEE,"['28 OCT', ' 21:17', 'UTC-03:00']","['19 NOV', ' 14:42', 'UTC+01:00']",815,"[['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'ANR'], ['ANR', 'ZEE']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
168,18 days,2,BRPEC,BEZEE,"['26 OCT', ' 22:27', 'UTC-03:00']","['13 NOV', ' 03:09', 'UTC+01:00']",820,"[['PEC', 'FOR'], ['FOR', 'NAT', 'VGO', 'LGP', 'RTM'], ['RTM', 'ZEE']]",['CMA CGM']
169,15 days,2,BRPEC,BEZEE,"['27 OCT', ' 08:30', 'UTC-03:00']","['11 NOV', ' 00:42', 'UTC+01:00']",835,"[['PEC', 'LPA'], ['LPA', 'ANR'], ['ANR', 'ZEE']]","['MSC', 'MSC']"
170,20 days,2,BRPEC,BEZEE,"['28 OCT', ' 21:17', 'UTC-03:00']","['18 NOV', ' 00:44', 'UTC+01:00']",845,"[['PEC', 'PTM'], ['PTM', 'ANR'], ['ANR', 'ZEE']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
171,24 days,2,BRPEC,BEZEE,"['12 NOV', ' 01:00', 'UTC-03:00']","['5 DEC', ' 15:44', 'UTC+01:00']",935,"[['PEC', 'PTM', 'RTM', 'LGP', 'HAM', 'BRV', 'ANR'], ['ANR', 'DKK'], ['DKK', 'ZEE']]","['Hapag-Lloyd, MSC', 'MSC']"
172,24 days,2,BRPEC,BEZEE,"['12 NOV', ' 01:00', 'UTC-03:00']","['6 DEC', ' 00:42', 'UTC+01:00']",955,"[['PEC', 'PTM', 'RTM', 'LGP', 'HAM', 'BRV'], ['BRV', 'ANR'], ['ANR', 'ZEE']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
