,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
3038,16 days,1,PECLL,BEANR,"['19 OCT', ' 02:38', 'UTC-05:00']","['4 NOV', ' 04:26', 'UTC+01:00']",1010,"[['CLL', 'BLB', 'MIT', 'CTB', 'CAU', 'RTM'], ['RTM', 'ANR']]",['MSC']
3039,31 days,1,PECLL,BEANR,"['19 OCT', ' 19:00', 'UTC-05:00']","['19 NOV', ' 12:00', 'UTC+01:00']",1015,"[['CLL', 'PSJ', 'MIT', 'CTG', 'CAU', 'RTM', 'LGP'], ['LGP', 'ANR']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd']"
3040,27 days,1,PECLL,BEANR,"['19 OCT', ' 19:00', 'UTC-05:00']","['15 NOV', ' 06:01', 'UTC+01:00']",1160,"[['CLL', 'PSJ', 'MIT', 'CTG', 'CAU', 'RTM'], ['RTM', 'HAM', 'ANR']]","['CMA CGM, COSCO, Hapag-Lloyd, OOCL', 'Hapag-Lloyd, YML']"
3041,20 days,2,PECLL,BEANR,"['19 OCT', ' 02:38', 'UTC-05:00']","['8 NOV', ' 03:42', 'UTC+01:00']",1095,"[['CLL', 'BLB', 'MIT', 'CTB', 'CAU', 'RTM'], ['RTM', 'AMS'], ['AMS', 'ANR']]","['MSC', 'MSC']"
3042,27 days,2,PECLL,BEANR,"['19 OCT', ' 02:38', 'UTC-05:00']","['15 NOV', ' 06:00', 'UTC+01:00']",1295,"[['CLL', 'BLB', 'MIT', 'CTB', 'CAU', 'RTM'], ['RTM', 'ORK'], ['ORK', 'ANR']]","['MSC', 'MSC', 'MSC']"
3043,33 days,2,PECLL,BEANR,"['19 OCT', ' 19:00', 'UTC-05:00']","['21 NOV', ' 08:00', 'UTC+01:00']",1345,"[['CLL', 'PSJ', 'MIT', 'CTG', 'CAU', 'RTM'], ['RTM', 'DUB'], ['DUB', 'ANR']]","['CMA CGM, COSCO, Hapag-Lloyd, OOCL', 'Hapag-Lloyd', 'Hapag-Lloyd']"
3044,35 days,2,PECLL,BEANR,"['21 OCT', ' 08:00', 'UTC-05:00']","['25 NOV', ' 00:33', 'UTC+01:00']",1380,"[['CLL', 'GYE', 'BUN', 'BLB'], ['BLB', 'PCN', 'PCA', 'CTG', 'CAU', 'HAL', 'SOU', 'LEH', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd', 'CMA CGM, Hapag-Lloyd, ONE']"
3045,36 days,3,PECLL,BEANR,"['19 OCT', ' 02:38', 'UTC-05:00']","['23 NOV', ' 13:34', 'UTC+01:00']",1445,"[['CLL', 'BLB', 'MIT', 'CTB', 'CAU', 'RTM'], ['RTM', 'LEI'], ['LEI', 'TIL', 'MOE'], ['MOE', 'ANR']]","['MSC', 'MSC', 'MSC, W.E.C. Lines']"
3046,18 days,1,PECLL,NLVLI,"['19 OCT', ' 02:38', 'UTC-05:00']","['5 NOV', ' 13:59', 'UTC+01:00']",995,"[['CLL', 'BLB', 'MIT', 'CTB', 'CAU', 'RTM', 'ANR'], ['ANR', 'VLI']]",['MSC']
3047,31 days,2,PECLL,NLVLI,"['19 OCT', ' 19:00', 'UTC-05:00']","['19 NOV', ' 13:32', 'UTC+01:00']",1070,"[['CLL', 'PSJ', 'MIT', 'CTG', 'CAU', 'RTM', 'LGP'], ['LGP', 'ANR'], ['ANR', 'VLI']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd']"
3048,20 days,2,PECLL,NLVLI,"['19 OCT', ' 02:38', 'UTC-05:00']","['8 NOV', ' 03:35', 'UTC+01:00']",1095,"[['CLL', 'BLB', 'MIT', 'CTB', 'CAU', 'RTM'], ['RTM', 'AMS'], ['AMS', 'VLI']]","['MSC', 'MSC']"
3049,27 days,2,PECLL,NLVLI,"['19 OCT', ' 19:00', 'UTC-05:00']","['15 NOV', ' 07:36', 'UTC+01:00']",1220,"[['CLL', 'PSJ', 'MIT', 'CTG', 'CAU', 'RTM'], ['RTM', 'HAM', 'ANR'], ['ANR', 'VLI']]","['CMA CGM, COSCO, Hapag-Lloyd, OOCL', 'Hapag-Lloyd, YML']"
3050,35 days,2,PECLL,NLVLI,"['21 OCT', ' 08:00', 'UTC-05:00']","['24 NOV', ' 23:41', 'UTC+01:00']",1360,"[['CLL', 'GYE', 'BUN', 'BLB'], ['BLB', 'PCN', 'PCA', 'CTG', 'CAU', 'HAL', 'SOU', 'LEH', 'RTM'], ['RTM', 'VLI']]","['Hapag-Lloyd', 'CMA CGM, Hapag-Lloyd, ONE']"
3051,27 days,3,PECLL,NLVLI,"['19 OCT', ' 02:38', 'UTC-05:00']","['15 NOV', ' 07:36', 'UTC+01:00']",1355,"[['CLL', 'BLB', 'MIT', 'CTB', 'CAU', 'RTM'], ['RTM', 'ORK'], ['ORK', 'ANR'], ['ANR', 'VLI']]","['MSC', 'MSC', 'MSC']"
3052,33 days,3,PECLL,NLVLI,"['19 OCT', ' 19:00', 'UTC-05:00']","['21 NOV', ' 09:35', 'UTC+01:00']",1405,"[['CLL', 'PSJ', 'MIT', 'CTG', 'CAU', 'RTM'], ['RTM', 'DUB'], ['DUB', 'ANR'], ['ANR', 'VLI']]","['CMA CGM, COSCO, Hapag-Lloyd, OOCL', 'Hapag-Lloyd', 'Hapag-Lloyd']"
