,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
1293,25 days,3,ECPSJ,NLAMS,"['23 OCT', ' 22:00', 'UTC-05:00']","['17 NOV', ' 23:25', 'UTC+01:00']",1200,"[['PSJ', 'BUN', 'MOB'], ['MOB', 'CAU', 'LGP'], ['LGP', 'RTM'], ['RTM', 'AMS']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd']"
1294,21 days,3,ECPSJ,NLAMS,"['24 OCT', ' 10:11', 'UTC-05:00']","['13 NOV', ' 19:21', 'UTC+01:00']",1215,"[['PSJ', 'GYE'], ['GYE', 'BLB'], ['BLB', 'CTB', 'CAU', 'ZEE'], ['ZEE', 'AMS']]","['MSC', 'MSC']"
1295,30 days,3,ECPSJ,NLAMS,"['23 OCT', ' 22:00', 'UTC-05:00']","['23 NOV', ' 02:48', 'UTC+01:00']",1285,"[['PSJ', 'BUN', 'MOB', 'CTG', 'PTM'], ['PTM', 'LEI'], ['LEI', 'VGO', 'RTM'], ['RTM', 'AMS']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd, W.E.C. Lines']"
1296,24 days,3,ECPSJ,NLAMS,"['26 OCT', ' 03:40', 'UTC-05:00']","['18 NOV', ' 23:43', 'UTC+01:00']",2295,"[['PSJ', 'GYE'], ['GYE', 'BUN', 'BLB'], ['BLB', 'ANR'], ['ANR', 'AMS']]","['Hapag-Lloyd, MSC', 'MSC']"
1297,23 days,4,ECPSJ,NLAMS,"['21 OCT', ' 04:44', 'UTC-05:00']","['12 NOV', ' 22:47', 'UTC+01:00']",1410,"[['PSJ', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR'], ['ANR', 'ORK'], ['ORK', 'RTM'], ['RTM', 'AMS']]","['MSC', 'MSC', 'MSC']"
1298,28 days,4,ECPSJ,NLAMS,"['21 OCT', ' 04:44', 'UTC-05:00']","['17 NOV', ' 11:28', 'UTC+01:00']",1505,"[['PSJ', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR'], ['ANR', 'LEI'], ['LEI', 'TIL', 'MOE'], ['MOE', 'AMS']]","['MSC', 'MSC', 'MSC, W.E.C. Lines']"
1299,29 days,4,ECPSJ,NLAMS,"['26 OCT', ' 03:40', 'UTC-05:00']","['24 NOV', ' 08:22', 'UTC+01:00']",2290,"[['PSJ', 'GYE'], ['GYE', 'BUN', 'BLB'], ['BLB', 'ANR'], ['ANR', 'RTM'], ['RTM', 'AMS']]","['Hapag-Lloyd, MSC', 'MSC', 'Containerships, MSC']"
1300,26 days,0,VNVUT,NLRTM,"['18 OCT', ' 04:10', 'UTC+07:00']","['12 NOV', ' 08:11', 'UTC+01:00']",820,"[['VUT', 'SIN', 'CMB', 'SUZ', 'RTM']]","['Hapag-Lloyd, HMM, YML']"
1301,25 days,1,VNVUT,NLRTM,"['20 OCT', ' 08:10', 'UTC+07:00']","['13 NOV', ' 02:11', 'UTC+01:00']",915,"[['VUT', 'SIN'], ['SIN', 'SUZ', 'RTM']]","['Hapag-Lloyd, HMM, YML', 'Hapag-Lloyd, ONE, YML']"
1302,30 days,1,VNVUT,NLRTM,"['19 OCT', ' 23:22', 'UTC+07:00']","['18 NOV', ' 00:00', 'UTC+01:00']",915,"[['VUT', 'CMT'], ['CMT', 'SUZ', 'PIR', 'HAM', 'RTM']]",['Evergreen']
1303,24 days,1,VNVUT,NLRTM,"['19 OCT', ' 01:00', 'UTC+07:00']","['10 NOV', ' 22:00', 'UTC+01:00']",920,"[['VUT', 'TPP'], ['TPP', 'RTM']]","['MSC', 'MSC']"
1304,30 days,2,VNVUT,NLRTM,"['19 OCT', ' 01:00', 'UTC+07:00']","['17 NOV', ' 06:00', 'UTC+01:00']",975,"[['VUT', 'TPP'], ['TPP', 'ANR'], ['ANR', 'RTM']]","['MSC', 'MSC', 'Containerships, MSC']"
