,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
1295,28 days,2,ECPSJ,NLVLI,"['21 OCT', ' 13:00', 'UTC-05:00']","['18 NOV', ' 01:36', 'UTC+01:00']",1110,"[['PSJ', 'PCN', 'MIT', 'CTG', 'CAU', 'RTM', 'LGP', 'HAM'], ['HAM', 'ANR'], ['ANR', 'VLI']]","['CMA CGM, Hapag-Lloyd', 'CMA CGM, Hapag-Lloyd, ONE']"
1296,29 days,2,ECPSJ,NLVLI,"['21 OCT', ' 13:00', 'UTC-05:00']","['19 NOV', ' 05:43', 'UTC+01:00']",1110,"[['PSJ', 'PCN', 'MIT', 'CTG', 'CAU', 'RTM'], ['RTM', 'HAM', 'ANR'], ['ANR', 'VLI']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd, HMM, ONE, YML']"
1297,23 days,2,ECPSJ,NLVLI,"['23 OCT', ' 22:00', 'UTC-05:00']","['15 NOV', ' 17:06', 'UTC+01:00']",1140,"[['PSJ', 'BUN', 'MOB'], ['MOB', 'CAU', 'LGP', 'RTM'], ['RTM', 'VLI']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
1298,25 days,2,ECPSJ,NLVLI,"['23 OCT', ' 22:00', 'UTC-05:00']","['17 NOV', ' 23:35', 'UTC+01:00']",1200,"[['PSJ', 'BUN', 'MOB', 'CTG', 'PTM'], ['PTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
1299,18 days,3,ECPSJ,NLVLI,"['20 OCT', ' 02:44', 'UTC-05:00']","['7 NOV', ' 07:23', 'UTC+01:00']",1090,"[['PSJ', 'GYE'], ['GYE', 'CTB'], ['CTB', 'CAU', 'ZEE'], ['ZEE', 'VLI']]","['MSC', 'MSC']"
1300,20 days,3,ECPSJ,NLVLI,"['16 OCT', ' 04:44', 'UTC-05:00']","['5 NOV', ' 07:32', 'UTC+01:00']",1110,"[['PSJ', 'GYE'], ['GYE', 'PBO', 'BLB'], ['BLB', 'PCN', 'MIT', 'ANR'], ['ANR', 'VLI']]","['Maersk', 'Maersk']"
1301,23 days,3,ECPSJ,NLVLI,"['17 OCT', ' 00:41', 'UTC-05:00']","['9 NOV', ' 01:11', 'UTC+01:00']",1110,"[['PSJ', 'GYE'], ['GYE', 'BLB'], ['BLB', 'RTM'], ['RTM', 'VLI']]","['MSC', 'MSC']"
1302,25 days,3,ECPSJ,NLVLI,"['23 OCT', ' 22:00', 'UTC-05:00']","['17 NOV', ' 22:36', 'UTC+01:00']",1175,"[['PSJ', 'BUN', 'MOB'], ['MOB', 'CAU', 'LGP'], ['LGP', 'RTM'], ['RTM', 'VLI']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd']"
1303,29 days,3,ECPSJ,NLVLI,"['23 OCT', ' 22:00', 'UTC-05:00']","['22 NOV', ' 01:36', 'UTC+01:00']",1255,"[['PSJ', 'BUN', 'MOB', 'CTG', 'PTM'], ['PTM', 'RTM'], ['RTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd']"
1304,20 days,1,ECPSJ,BEZEE,"['20 OCT', ' 02:44', 'UTC-05:00']","['8 NOV', ' 09:00', 'UTC+01:00']",950,"[['PSJ', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR', 'ZEE']]",['MSC']
1305,25 days,1,ECPSJ,BEZEE,"['21 OCT', ' 13:00', 'UTC-05:00']","['15 NOV', ' 14:43', 'UTC+01:00']",1065,"[['PSJ', 'PCN', 'MIT', 'CTG', 'CAU', 'RTM', 'LGP', 'HAM', 'ANR'], ['ANR', 'ZEE']]","['CMA CGM, Hapag-Lloyd']"
1306,28 days,2,ECPSJ,BEZEE,"['21 OCT', ' 13:00', 'UTC-05:00']","['18 NOV', ' 18:42', 'UTC+01:00']",980,"[['PSJ', 'PCN', 'MIT', 'CTG', 'CAU', 'RTM'], ['RTM', 'ANR'], ['ANR', 'ZEE']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd, W.E.C. Lines']"
1307,17 days,2,ECPSJ,BEZEE,"['14 OCT', ' 19:45', 'UTC-05:00']","['31 OCT', ' 10:14', 'UTC+01:00']",985,"[['PSJ', 'GYE'], ['GYE', 'PAI', 'DVR', 'VLI'], ['VLI', 'ZEE']]",['Seatrade']
1308,29 days,2,ECPSJ,BEZEE,"['21 OCT', ' 13:00', 'UTC-05:00']","['19 NOV', ' 14:42', 'UTC+01:00']",1005,"[['PSJ', 'PCN', 'MIT', 'CTG', 'CAU', 'RTM', 'LGP'], ['LGP', 'ANR'], ['ANR', 'ZEE']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd']"
1309,18 days,2,ECPSJ,BEZEE,"['20 OCT', ' 02:44', 'UTC-05:00']","['7 NOV', ' 00:42', 'UTC+01:00']",1035,"[['PSJ', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR'], ['ANR', 'ZEE']]",['MSC']
1310,18 days,2,ECPSJ,BEZEE,"['20 OCT', ' 02:44', 'UTC-05:00']","['7 NOV', ' 06:00', 'UTC+01:00']",1040,"[['PSJ', 'GYE'], ['GYE', 'CTB'], ['CTB', 'CAU', 'ZEE']]","['MSC', 'MSC']"
1311,28 days,2,ECPSJ,BEZEE,"['21 OCT', ' 13:00', 'UTC-05:00']","['18 NOV', ' 02:45', 'UTC+01:00']",1140,"[['PSJ', 'PCN', 'MIT', 'CTG', 'CAU', 'RTM', 'LGP', 'HAM'], ['HAM', 'ANR'], ['ANR', 'ZEE']]","['CMA CGM, Hapag-Lloyd', 'CMA CGM, Hapag-Lloyd, ONE']"
1312,29 days,2,ECPSJ,BEZEE,"['21 OCT', ' 13:00', 'UTC-05:00']","['19 NOV', ' 06:53', 'UTC+01:00']",1145,"[['PSJ', 'PCN', 'MIT', 'CTG', 'CAU', 'RTM'], ['RTM', 'HAM', 'ANR'], ['ANR', 'ZEE']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd, HMM, ONE, YML']"
1313,25 days,2,ECPSJ,BEZEE,"['21 OCT', ' 13:00', 'UTC-05:00']","['15 NOV', ' 18:09', 'UTC+01:00']",1180,"[['PSJ', 'PCN', 'MIT', 'CTG', 'CAU'], ['CAU', 'LGP', 'RTM'], ['RTM', 'ZEE']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd']"
1314,25 days,2,ECPSJ,BEZEE,"['23 OCT', ' 22:00', 'UTC-05:00']","['17 NOV', ' 08:43', 'UTC+01:00']",1180,"[['PSJ', 'BUN', 'MOB'], ['MOB', 'CAU', 'LGP', 'RTM', 'ANR'], ['ANR', 'ZEE']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
1315,25 days,2,ECPSJ,BEZEE,"['23 OCT', ' 22:00', 'UTC-05:00']","['18 NOV', ' 00:44', 'UTC+01:00']",1230,"[['PSJ', 'BUN', 'MOB', 'CTG', 'PTM'], ['PTM', 'ANR'], ['ANR', 'ZEE']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
1316,21 days,3,ECPSJ,BEZEE,"['20 OCT', ' 02:44', 'UTC-05:00']","['9 NOV', ' 09:20', 'UTC+01:00']",1085,"[['PSJ', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR'], ['ANR', 'DKK'], ['DKK', 'ZEE']]","['MSC', 'MSC']"
1317,20 days,3,ECPSJ,BEZEE,"['16 OCT', ' 04:44', 'UTC-05:00']","['5 NOV', ' 08:42', 'UTC+01:00']",1145,"[['PSJ', 'GYE'], ['GYE', 'PBO', 'BLB'], ['BLB', 'PCN', 'MIT', 'ANR'], ['ANR', 'ZEE']]","['Maersk', 'Maersk']"
1318,17 days,2,ECPSJ,NLAMS,"['14 OCT', ' 19:45', 'UTC-05:00']","['31 OCT', ' 13:57', 'UTC+01:00']",1085,"[['PSJ', 'GYE'], ['GYE', 'PAI', 'DVR', 'VLI'], ['VLI', 'AMS']]",['Seatrade']
1319,18 days,2,ECPSJ,NLAMS,"['20 OCT', ' 02:44', 'UTC-05:00']","['7 NOV', ' 02:43', 'UTC+01:00']",1085,"[['PSJ', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR'], ['ANR', 'AMS']]",['MSC']
1320,23 days,2,ECPSJ,NLAMS,"['23 OCT', ' 22:00', 'UTC-05:00']","['15 NOV', ' 17:55', 'UTC+01:00']",1165,"[['PSJ', 'BUN', 'MOB'], ['MOB', 'CAU', 'LGP', 'RTM'], ['RTM', 'AMS']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
1321,24 days,2,ECPSJ,NLAMS,"['23 OCT', ' 22:00', 'UTC-05:00']","['16 NOV', ' 13:47', 'UTC+01:00']",1230,"[['PSJ', 'BUN', 'MOB', 'CTG', 'PTM'], ['PTM', 'RTM'], ['RTM', 'AMS']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
1322,20 days,3,ECPSJ,NLAMS,"['20 OCT', ' 02:44', 'UTC-05:00']","['9 NOV', ' 08:20', 'UTC+01:00']",1070,"[['PSJ', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR'], ['ANR', 'RTM'], ['RTM', 'AMS']]","['MSC', 'MSC']"
1323,21 days,3,ECPSJ,NLAMS,"['20 OCT', ' 02:44', 'UTC-05:00']","['10 NOV', ' 08:22', 'UTC+01:00']",1080,"[['PSJ', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR'], ['ANR', 'RTM'], ['RTM', 'AMS']]","['MSC', 'Containerships, MSC']"
1324,23 days,3,ECPSJ,NLAMS,"['17 OCT', ' 00:41', 'UTC-05:00']","['9 NOV', ' 01:47', 'UTC+01:00']",1125,"[['PSJ', 'GYE'], ['GYE', 'BLB'], ['BLB', 'RTM'], ['RTM', 'AMS']]","['MSC', 'MSC']"
1325,22 days,3,ECPSJ,NLAMS,"['16 OCT', ' 04:44', 'UTC-05:00']","['7 NOV', ' 02:49', 'UTC+01:00']",1165,"[['PSJ', 'GYE'], ['GYE', 'PBO', 'BLB'], ['BLB', 'PCN', 'MIT', 'ANR', 'RTM'], ['RTM', 'AMS']]","['Maersk', 'Maersk']"
1326,25 days,3,ECPSJ,NLAMS,"['23 OCT', ' 22:00', 'UTC-05:00']","['17 NOV', ' 23:25', 'UTC+01:00']",1200,"[['PSJ', 'BUN', 'MOB'], ['MOB', 'CAU', 'LGP'], ['LGP', 'RTM'], ['RTM', 'AMS']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd']"
1327,19 days,3,ECPSJ,NLAMS,"['20 OCT', ' 02:44', 'UTC-05:00']","['7 NOV', ' 12:03', 'UTC+01:00']",1220,"[['PSJ', 'GYE'], ['GYE', 'CTB'], ['CTB', 'CAU', 'ZEE'], ['ZEE', 'AMS']]","['MSC', 'MSC']"
1328,30 days,3,ECPSJ,NLAMS,"['23 OCT', ' 22:00', 'UTC-05:00']","['23 NOV', ' 02:48', 'UTC+01:00']",1285,"[['PSJ', 'BUN', 'MOB', 'CTG', 'PTM'], ['PTM', 'LEI'], ['LEI', 'VGO', 'RTM'], ['RTM', 'AMS']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd, W.E.C. Lines']"
1329,24 days,4,ECPSJ,NLAMS,"['20 OCT', ' 02:44', 'UTC-05:00']","['12 NOV', ' 22:47', 'UTC+01:00']",1410,"[['PSJ', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR'], ['ANR', 'ORK'], ['ORK', 'RTM'], ['RTM', 'AMS']]","['MSC', 'MSC', 'MSC']"
1330,29 days,4,ECPSJ,NLAMS,"['20 OCT', ' 02:44', 'UTC-05:00']","['17 NOV', ' 11:28', 'UTC+01:00']",1505,"[['PSJ', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR'], ['ANR', 'LEI'], ['LEI', 'TIL', 'MOE'], ['MOE', 'AMS']]","['MSC', 'MSC', 'MSC, W.E.C. Lines']"
1331,26 days,0,VNVUT,NLRTM,"['18 OCT', ' 04:10', 'UTC+07:00']","['12 NOV', ' 08:11', 'UTC+01:00']",820,"[['VUT', 'SIN', 'CMB', 'SUZ', 'RTM']]","['Hapag-Lloyd, HMM, YML']"
1332,25 days,1,VNVUT,NLRTM,"['20 OCT', ' 08:10', 'UTC+07:00']","['13 NOV', ' 02:11', 'UTC+01:00']",915,"[['VUT', 'SIN'], ['SIN', 'SUZ', 'RTM']]","['Hapag-Lloyd, HMM, YML', 'Hapag-Lloyd, ONE, YML']"
1333,25 days,1,VNVUT,NLRTM,"['17 OCT', ' 14:00', 'UTC+07:00']","['10 NOV', ' 22:00', 'UTC+01:00']",920,"[['VUT', 'TPP'], ['TPP', 'RTM']]","['MSC', 'MSC']"
1334,27 days,1,VNVUT,NLRTM,"['15 OCT', ' 22:00', 'UTC+07:00']","['11 NOV', ' 00:00', 'UTC+01:00']",995,"[['VUT', 'SIN'], ['SIN', 'SUZ', 'PIR', 'ANR', 'HAM', 'RTM']]","['COSCO, OOCL', 'CMA CGM, COSCO, Evergreen, OOCL']"
1335,32 days,1,VNVUT,BEANR,"['24 OCT', ' 03:00', 'UTC+07:00']","['24 NOV', ' 04:00', 'UTC+01:00']",870,"[['VUT', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
1336,32 days,1,VNVUT,BEANR,"['18 OCT', ' 04:10', 'UTC+07:00']","['18 NOV', ' 16:00', 'UTC+01:00']",880,"[['VUT', 'SIN', 'CMB', 'SUZ', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, HMM, YML', 'Hapag-Lloyd, W.E.C. Lines']"
1337,29 days,1,VNVUT,BEANR,"['24 OCT', ' 03:00', 'UTC+07:00']","['20 NOV', ' 23:03', 'UTC+01:00']",910,"[['VUT', 'RTM'], ['RTM', 'ANR']]",['Hapag-Lloyd']
