,Origin,Destination,Departure time,Arrival time,Ports,Vessels,Dates
1083,Montevideo Terminal Cuenca del Plata,Moerdijk Delta Marine Terminal BV,19 Feb 2023 22:00,20 Mar 2023 15:00,"['Montevideo Terminal Cuenca del Plata', 'Moerdijk Delta Marine Terminal BV']","[['CAP SAN AUGUSTIN', '9622239', 'NEOSAMBA', 'DK', 'OXUN2', '2013']]","['19 Feb 2023 22:00', '20 Mar 2023 15:00']"
1084,Montevideo Terminal Cuenca del Plata,Moerdijk Delta Marine Terminal BV,19 Feb 2023 22:00,20 Mar 2023 15:00,"['Montevideo Terminal Cuenca del Plata', 'Rotterdam Hutchison Ports Delta II', 'Moerdijk Delta Marine Terminal BV']","[['CAP SAN AUGUSTIN', '9622239', 'NEOSAMBA', 'DK', 'OXUN2', '2013']]","['19 Feb 2023 22:00', '17 Mar 2023 07:00', '19 Mar 2023 15:00', '20 Mar 2023 15:00']"
1085,Montevideo Terminal Cuenca del Plata,Moerdijk Delta Marine Terminal BV,19 Feb 2023 22:00,20 Mar 2023 15:00,"['Montevideo Terminal Cuenca del Plata', 'Moerdijk Delta Marine Terminal BV']","[['CAP SAN AUGUSTIN', '9622239', 'NEOSAMBA', 'DK', 'OXUN2', '2013']]","['19 Feb 2023 22:00', '20 Mar 2023 15:00']"
1086,Montevideo Terminal Cuenca del Plata,Moerdijk Delta Marine Terminal BV,26 Feb 2023 22:00,27 Mar 2023 15:00,"['Montevideo Terminal Cuenca del Plata', 'Rotterdam Hutchison Ports Delta II', 'Moerdijk Delta Marine Terminal BV']","[['CAP SAN MALEAS', '9633941', 'NEOSAMBA', 'PA', '3FSS8', '2013']]","['26 Feb 2023 22:00', '24 Mar 2023 07:00', '26 Mar 2023 15:00', '27 Mar 2023 15:00']"
1087,Montevideo Terminal Cuenca del Plata,Moerdijk Delta Marine Terminal BV,26 Feb 2023 22:00,27 Mar 2023 15:00,"['Montevideo Terminal Cuenca del Plata', 'Moerdijk Delta Marine Terminal BV']","[['CAP SAN MALEAS', '9633941', 'NEOSAMBA', 'PA', '3FSS8', '2013']]","['26 Feb 2023 22:00', '27 Mar 2023 15:00']"
1088,Montevideo Terminal Cuenca del Plata,Moerdijk Delta Marine Terminal BV,05 Mar 2023 22:00,03 Apr 2023 15:00,"['Montevideo Terminal Cuenca del Plata', 'Rotterdam Hutchison Ports Delta II', 'Moerdijk Delta Marine Terminal BV']","[['CAP SAN RAPHAEL', '9622253', 'NEOSAMBA', 'DK', 'OXCL2', '2013']]","['05 Mar 2023 22:00', '31 Mar 2023 07:00', '02 Apr 2023 15:00', '03 Apr 2023 15:00']"
1089,Montevideo Terminal Cuenca del Plata,Moerdijk Delta Marine Terminal BV,05 Mar 2023 22:00,03 Apr 2023 15:00,"['Montevideo Terminal Cuenca del Plata', 'Moerdijk Delta Marine Terminal BV']","[['CAP SAN RAPHAEL', '9622253', 'NEOSAMBA', 'DK', 'OXCL2', '2013']]","['05 Mar 2023 22:00', '03 Apr 2023 15:00']"
1090,Montevideo Terminal Cuenca del Plata,Moerdijk Delta Marine Terminal BV,12 Mar 2023 22:00,10 Apr 2023 15:00,"['Montevideo Terminal Cuenca del Plata', 'Rotterdam Hutchison Ports Delta II', 'Moerdijk Delta Marine Terminal BV']","[['CAP SAN ARTEMISSIO', '9633939', 'NEOSAMBA', 'PA', '3EQA4', '2013']]","['12 Mar 2023 22:00', '07 Apr 2023 07:00', '09 Apr 2023 15:00', '10 Apr 2023 15:00']"
1091,Montevideo Terminal Cuenca del Plata,Moerdijk Delta Marine Terminal BV,12 Mar 2023 22:00,10 Apr 2023 15:00,"['Montevideo Terminal Cuenca del Plata', 'Moerdijk Delta Marine Terminal BV']","[['CAP SAN ARTEMISSIO', '9633939', 'NEOSAMBA', 'PA', '3EQA4', '2013']]","['12 Mar 2023 22:00', '10 Apr 2023 15:00']"
1092,Montevideo Terminal Cuenca del Plata,Moerdijk Delta Marine Terminal BV,19 Mar 2023 22:00,17 Apr 2023 15:00,"['Montevideo Terminal Cuenca del Plata', 'Rotterdam Hutchison Ports Delta II', 'Moerdijk Delta Marine Terminal BV']","[['CAP SAN LORENZO', '9622227', 'NEOSAMBA', 'DK', 'OXOF2', '2013']]","['19 Mar 2023 22:00', '14 Apr 2023 07:00', '16 Apr 2023 15:00', '17 Apr 2023 15:00']"
